Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129012066,0,0,0,0,0,0,0
1625129012077,0,0,0,0,0,0,0
1625129012087,0,0,0,0,0,0,0
1625129012097,0,0,0,0,0,0,0
1625129012108,0,0,0,0,0,0,0
1625129012118,0,0,0,0,0,0,0
1625129012128,0,0,0,0,0,0,0
1625129012139,0,0,0,0,0,0,0
1625129012149,0,0,0,0,0,0,0
1625129012160,0,0,0,0,0,0,0
1625129012170,0,0,0,0,0,0,0
1625129012180,0,0,0,0,0,0,0
1625129012191,0,0,0,0,0,0,0
1625129012201,0,0,0,0,0,0,0
1625129012211,0,0,0,0,0,0,0
1625129012222,0,0,0,0,0,0,0
1625129012232,0,0,0,0,0,0,0
1625129012243,0,0,0,0,0,0,0
1625129012253,0,0,0,0,0,0,0
1625129012263,0,0,0,0,0,0,0
1625129012274,0,0,0,0,0,0,0
1625129012284,0,0,0,0,0,0,0
1625129012294,0,0,0,0,0,0,0
1625129012305,0,0,0,0,0,0,0
1625129012315,0,0,0,0,0,0,0
1625129012325,0,0,0,0,0,0,0
1625129012336,0,0,0,0,0,0,0
1625129012346,0,0,0,0,0,0,0
1625129012356,0,0,0,0,0,0,0
1625129012367,0,0,0,0,0,0,0
1625129012377,0,0,0,0,0,0,0
1625129012388,0,0,0,0,0,0,0
1625129012398,0,0,0,0,0,0,0
1625129012408,0,0,0,0,0,0,0
1625129012419,0,0,0,0,0,0,0
1625129012429,0,0,0,0,0,0,0
1625129012439,0,0,0,0,0,0,0
1625129012450,0,0,0,0,0,0,0
1625129012460,0,0,0,0,0,0,0
1625129012470,0,0,0,0,0,0,0
1625129012481,0,0,0,0,0,0,0
1625129012491,0,0,0,0,0,0,0
1625129012502,0,0,0,0,0,0,0
1625129012512,0,0,0,0,0,0,0
1625129012522,0,0,0,0,0,0,0
1625129012533,0,0,0,0,0,0,0
1625129012543,0,0,0,0,0,0,0
1625129012553,0,0,0,0,0,0,0
1625129012564,0,0,0,0,0,0,0
1625129012574,0,0,0,0,0,0,0
1625129012584,0,0,0,0,0,0,0
1625129012595,0,0,0,0,0,0,0
1625129012605,0,0,0,0,0,0,0
1625129012616,0,0,0,0,0,0,0
1625129012626,0,0,0,0,0,0,0
1625129012636,0,0,0,0,0,0,0
1625129012647,0,0,0,0,0,0,0
1625129012657,0,0,0,0,0,0,0
1625129012667,0,0,0,0,0,0,0
1625129012678,0,0,0,0,0,0,0
1625129012688,0,0,0,0,0,0,0
1625129012698,0,0,0,0,0,0,0
1625129012709,0,0,0,0,0,0,0
1625129012719,0,0,0,0,0,0,0
1625129012730,0,0,0,0,0,0,0
1625129012740,0,0,0,0,0,0,0
1625129012750,0,0,0,0,0,0,0
1625129012761,0,0,0,0,0,0,0
1625129012771,0,0,0,0,0,0,0
1625129012781,0,0,0,0,0,0,0
1625129012792,0,0,0,0,0,0,0
1625129012802,0,0,0,0,0,0,0
1625129012812,0,0,0,0,0,0,0
1625129012823,0,0,0,0,0,0,0
1625129012833,0,0,0,0,0,0,0
1625129012843,0,0,0,0,0,0,0
1625129012854,0,0,0,0,0,0,0
1625129012864,0,0,0,0,0,0,0
1625129012875,0,0,0,0,0,0,0
1625129012885,0,0,0,0,0,0,0
1625129012895,0,0,0,0,0,0,0
1625129012906,0,0,0,0,0,0,0
1625129012916,0,0,0,0,0,0,0
1625129012926,0,0,0,0,0,0,0
1625129012937,0,0,0,0,0,0,0
1625129012947,0,0,0,0,0,0,0
1625129012957,0,0,0,0,0,0,0
1625129012968,0,0,0,0,0,0,0
1625129012978,0,0,0,0,0,0,0
1625129012989,0,0,0,0,0,0,0
1625129012999,0,0,0,0,0,0,0
1625129013009,0,0,0,0,0,0,0
1625129013020,0,0,0,0,0,0,0
1625129013030,0,0,0,0,0,0,0
1625129013040,0,0,0,0,0,0,0
1625129013051,0,0,0,0,0,0,0
1625129013061,0,0,0,0,0,0,0
1625129013071,0,0,0,0,0,0,0
1625129013082,0,0,0,0,0,0,0
1625129013092,0,0,0,0,0,0,0
1625129013102,0,0,0,0,0,0,0
1625129013113,0,0,0,0,0,0,0
1625129013124,0,0,0,0,0,0,0
1625129013135,0,0,0,0,0,0,0
1625129013146,0,0,0,0,0,0,0
1625129013156,0,0,0,0,0,0,0
1625129013167,0,0,0,0,0,0,0
1625129013178,0,0,0,0,0,0,0
1625129013189,0,0,0,0,0,0,0
1625129013200,0,0,0,0,0,0,0
1625129013211,0,0,0,0,0,0,0
1625129013221,0,0,0,0,0,0,0
1625129013232,0,0,0,0,0,0,0
1625129013243,0,0,0,0,0,0,0
1625129013254,0,0,0,0,0,0,0
1625129013264,0,0,0,0,0,0,0
1625129013275,0,0,0,0,0,0,0
1625129013286,0,0,0,0,0,0,0
1625129013296,0,0,0,0,0,0,0
1625129013307,0,0,0,0,0,0,0
1625129013318,0,0,0,0,0,0,0
1625129013329,0,0,0,0,0,0,0
1625129013339,0,0,0,0,0,0,0
1625129013350,0,0,0,0,0,0,0
1625129013361,0,0,0,0,0,0,0
1625129013372,0,0,0,0,0,0,0
1625129013382,0,0,0,0,0,0,0
1625129013393,0,0,0,0,0,0,0
1625129013404,0,0,0,0,0,0,0
1625129013414,0,0,0,0,0,0,0
1625129013425,0,0,0,0,0,0,0
1625129013436,0,0,0,0,0,0,0
1625129013447,0,0,0,0,0,0,0
1625129013457,0,0,0,0,0,0,0
1625129013468,0,0,0,0,0,0,0
1625129013479,0,0,0,0,0,0,0
1625129013489,0,0,0,0,0,0,0
1625129013500,0,0,0,0,0,0,0
1625129013511,0,0,0,0,0,0,0
1625129013522,0,0,0,0,0,0,0
1625129013532,0,0,0,0,0,0,0
1625129013543,0,0,0,0,0,0,0
1625129013554,0,0,0,0,0,0,0
1625129013565,0,0,0,0,0,0,0
1625129013575,0,0,0,0,0,0,0
1625129013586,0,0,0,0,0,0,0
1625129013597,0,0,0,0,0,0,0
1625129013607,0,0,0,0,0,0,0
1625129013618,0,0,0,0,0,0,0
1625129013629,0,0,0,0,0,0,0
1625129013640,0,0,0,0,0,0,0
1625129013650,0,0,0,0,0,0,0
1625129013661,0,0,0,0,0,0,0
1625129013672,0,0,0,0,0,0,0
1625129013683,0,0,0,0,0,0,0
1625129013693,0,0,0,0,0,0,0
1625129013704,0,0,0,0,0,0,0
1625129013715,0,0,0,0,0,0,0
1625129013725,0,0,0,0,0,0,0
1625129013736,0,0,0,0,0,0,0
1625129013747,0,0,0,0,0,0,0
1625129013758,0,0,0,0,0,0,0
1625129013768,0,0,0,0,0,0,0
1625129013779,0,0,0,0,0,0,0
1625129013790,0,0,0,0,0,0,0
1625129013800,0,0,0,0,0,0,0
1625129013811,0,0,0,0,0,0,0
1625129013822,0,0,0,0,0,0,0
1625129013833,0,0,0,0,0,0,0
1625129013843,0,0,0,0,0,0,0
1625129013854,0,0,0,0,0,0,0
1625129013865,0,0,0,0,0,0,0
1625129013875,0,0,0,0,0,0,0
1625129013886,0,0,0,0,0,0,0
1625129013897,0,0,0,0,0,0,0
1625129013908,0,0,0,0,0,0,0
1625129013918,0,0,0,0,0,0,0
1625129013929,0,0,0,0,0,0,0
1625129013940,0,0,0,0,0,0,0
1625129013951,0,0,0,0,0,0,0
1625129013961,0,0,0,0,0,0,0
1625129013972,0,0,0,0,0,0,0
1625129013983,0,0,0,0,0,0,0
1625129013993,0,0,0,0,0,0,0
1625129014004,0,0,0,0,0,0,0
1625129014015,0,0,0,0,0,0,0
1625129014026,0,0,0,0,0,0,0
1625129014036,0,0,0,0,0,0,0
1625129014047,0,0,0,0,0,0,0
1625129014058,0,0,0,0,0,0,0
1625129014068,0,0,0,0,0,0,0
1625129014079,0,0,0,0,0,0,0
1625129014090,0,0,0,0,0,0,0
1625129014101,0,0,0,0,0,0,0
1625129014111,0,0,0,0,0,0,0
1625129014122,0,0,0,0,0,0,0
1625129014133,0,0,0,0,0,0,0
1625129014144,0,0,0,0,0,0,0
1625129014154,0,0,0,0,0,0,0
1625129014165,0,0,0,0,0,0,0
1625129014176,0,0,0,0,0,0,0
1625129014186,0,0,0,0,0,0,0
1625129014197,0,0,0,0,0,0,0
1625129014208,0,0,0,0,0,0,0
1625129014219,0,0,0,0,0,0,0
1625129014229,0,0,0,0,0,0,0
1625129014240,0,0,0,0,0,0,0
1625129014251,0,0,0,0,0,0,0
1625129014262,0,0,0,0,0,0,0
1625129014273,0,0,0,0,0,0,0
1625129014283,0,0,0,0,0,0,0
1625129014294,0,0,0,0,0,0,0
1625129014305,0,0,0,0,0,0,0
1625129014316,0,0,0,0,0,0,0
1625129014326,0,0,0,0,0,0,0
1625129014337,0,0,0,0,0,0,0
1625129014348,0,0,0,0,0,0,0
1625129014359,0,0,0,0,0,0,0
1625129014369,0,0,0,0,0,0,0
1625129014380,0,0,0,0,0,0,0
1625129014391,0,0,0,0,0,0,0
1625129014401,0,0,0,0,0,0,0
1625129014412,0,0,0,0,0,0,0
1625129014423,0,0,0,0,0,0,0
1625129014434,0,0,0,0,0,0,0
1625129014444,0,0,0,0,0,0,0
1625129014455,0,0,0,0,0,0,0
1625129014466,0,0,0,0,0,0,0
1625129014476,0,0,0,0,0,0,0
1625129014487,0,0,0,0,0,0,0
1625129014498,0,0,0,0,0,0,0
1625129014509,0,0,0,0,0,0,0
1625129014519,0,0,0,0,0,0,0
1625129014530,0,0,0,0,0,0,0
1625129014541,0,0,0,0,0,0,0
1625129014552,0,0,0,0,0,0,0
1625129014562,0,0,0,0,0,0,0
1625129014573,0,0,0,0,0,0,0
1625129014584,0,0,0,0,0,0,0
1625129014594,0,0,0,0,0,0,0
1625129014605,0,0,0,0,0,0,0
1625129014616,0,0,0,0,0,0,0
1625129014627,0,0,0,0,0,0,0
1625129014637,0,0,0,0,0,0,0
1625129014648,0,0,0,0,0,0,0
1625129014659,0,0,0,0,0,0,0
1625129014669,0,0,0,0,0,0,0
1625129014680,0,0,0,0,0,0,0
1625129014691,0,0,0,0,0,0,0
1625129014702,0,0,0,0,0,0,0
1625129014712,0,0,0,0,0,0,0
1625129014723,0,0,0,0,0,0,0
1625129014734,0,0,0,0,0,0,0
1625129014744,0,0,0,0,0,0,0
1625129014755,0,0,0,0,0,0,0
1625129014766,0,0,0,0,0,0,0
1625129014777,0,0,0,0,0,0,0
1625129014787,0,0,0,0,0,0,0
1625129014798,0,0,0,0,0,0,0
1625129014809,0,0,0,0,0,0,0
1625129014819,0,0,0,0,0,0,0
1625129014830,0,0,0,0,0,0,0
1625129014841,0,0,0,0,0,0,0
1625129014852,0,0,0,0,0,0,0
1625129014862,0,0,0,0,0,0,0
1625129014873,0,0,0,0,0,0,0
1625129014884,0,0,0,0,0,0,0
1625129014895,0,0,0,0,0,0,0
1625129014905,0,0,0,0,0,0,0
1625129014916,0,0,0,0,0,0,0
1625129014927,0,0,0,0,0,0,0
1625129014937,0,0,0,0,0,0,0
1625129014948,0,0,0,0,0,0,0
1625129014959,0,0,0,0,0,0,0
1625129014970,0,0,0,0,0,0,0
1625129014980,0,0,0,0,0,0,0
1625129014991,0,0,0,0,0,0,0
1625129015002,0,0,0,0,0,0,0
1625129015012,0,0,0,0,0,0,0
1625129015023,0,0,0,0,0,0,0
1625129015034,0,0,0,0,0,0,0
1625129015045,0,0,0,0,0,0,0
1625129015055,0,0,0,0,0,0,0
1625129015066,0,0,0,0,0,0,0
1625129015077,0,0,0,0,0,0,0
1625129015088,0,0,0,0,0,0,0
