Time,Error,P,I-Accumulator,D,Output
1611013493708,3,6,0,0,1
1611013493709,3,6,0,0,1
1611013493709,3,6,0,0,1
1611013493709,3,6,0,0,1
1611013493710,3,6,0,0,1
1611013493710,3,6,0,0,1
1611013493711,3,6,0,0,1
1611013493711,3,6,0,0,1
1611013493711,3,6,0,0,1
1611013493712,3,6,0,0,1
1611013493712,3,6,0,0,1
1611013493713,3,6,0,0,1
1611013493713,3,6,0,0,1
1611013493713,3,6,0,0,1
1611013493714,3,6,0,0,1
1611013493714,3,6,0,0,1
1611013493715,3,6,0,0,1
1611013493715,3,6,0,0,1
1611013493715,3,6,0,0,1
1611013493716,3,6,0,0,1
1611013493716,3,6,0,0,1
1611013493717,3,6,0,0,1
1611013493717,3,6,0,0,1
1611013493717,2.9988863646487594,5.997772729297519,0,0,1
1611013493718,2.9988863646487594,5.997772729297519,0,0,1
1611013493718,2.9988863646487594,5.997772729297519,0,0,1
1611013493719,2.9988863646487594,5.997772729297519,0,0,1
1611013493719,2.9988863646487594,5.997772729297519,0,0,1
1611013493720,2.9988863646487594,5.997772729297519,0,0,1
1611013493720,2.9988863646487594,5.997772729297519,0,0,1
1611013493720,2.9988863646487594,5.997772729297519,0,0,1
1611013493721,2.9977727292975187,5.995545458595037,0,0,1
1611013493721,2.9977727292975187,5.995545458595037,0,0,1
1611013493722,2.9977727292975187,5.995545458595037,0,0,1
1611013493722,2.9977727292975187,5.995545458595037,0,0,1
1611013493723,2.9977727292975187,5.995545458595037,0,0,1
1611013493723,2.9977727292975187,5.995545458595037,0,0,1
1611013493723,2.9977727292975187,5.995545458595037,0,0,1
1611013493724,2.996659093946278,5.993318187892556,0,0,1
1611013493724,2.996659093946278,5.993318187892556,0,0,1
1611013493725,2.996659093946278,5.993318187892556,0,0,1
1611013493725,2.996659093946278,5.993318187892556,0,0,1
1611013493726,2.996659093946278,5.993318187892556,0,0,1
1611013493726,2.995545458595038,5.991090917190076,0,0,1
1611013493726,2.995545458595038,5.991090917190076,0,0,1
1611013493727,2.995545458595038,5.991090917190076,0,0,1
1611013493727,2.995545458595038,5.991090917190076,0,0,1
1611013493728,2.995545458595038,5.991090917190076,0,0,1
1611013493728,2.994431823243797,5.988863646487594,0,0,1
1611013493729,2.994431823243797,5.988863646487594,0,0,1
1611013493729,2.994431823243797,5.988863646487594,0,0,1
1611013493729,2.994431823243797,5.988863646487594,0,0,1
1611013493730,2.9933181878925565,5.986636375785113,0,0,1
1611013493730,2.9933181878925565,5.986636375785113,0,0,1
1611013493731,2.9933181878925565,5.986636375785113,0,0,1
1611013493731,2.9933181878925565,5.986636375785113,0,0,1
1611013493732,2.992204552541316,5.984409105082632,0,0,1
1611013493732,2.992204552541316,5.984409105082632,0,0,1
1611013493733,2.992204552541316,5.984409105082632,0,0,1
1611013493733,2.992204552541316,5.984409105082632,0,0,1
1611013493733,2.9910909171900752,5.9821818343801505,0,0,1
1611013493734,2.9910909171900752,5.9821818343801505,0,0,1
1611013493734,2.9910909171900752,5.9821818343801505,0,0,1
1611013493735,2.9910909171900752,5.9821818343801505,0,0,1
1611013493735,2.9899772818388346,5.979954563677669,0,0,1
1611013493736,2.9899772818388346,5.979954563677669,0,0,1
1611013493736,2.9899772818388346,5.979954563677669,0,0,1
1611013493736,2.988863646487594,5.977727292975188,0,0,1
1611013493737,2.988863646487594,5.977727292975188,0,0,1
1611013493737,2.988863646487594,5.977727292975188,0,0,1
1611013493738,2.988863646487594,5.977727292975188,0,0,1
1611013493738,2.9877500111363533,5.975500022272707,0,0,1
1611013493739,2.9877500111363533,5.975500022272707,0,0,1
1611013493739,2.9877500111363533,5.975500022272707,0,0,1
1611013493739,2.986636375785113,5.973272751570226,0,0,1
1611013493740,2.986636375785113,5.973272751570226,0,0,1
1611013493740,2.986636375785113,5.973272751570226,0,0,1
1611013493741,2.9855227404338724,5.971045480867745,0,0,1
1611013493741,2.9855227404338724,5.971045480867745,0,0,1
1611013493742,2.9855227404338724,5.971045480867745,0,0,1
1611013493742,2.984409105082632,5.968818210165264,0,0,1
1611013493742,2.984409105082632,5.968818210165264,0,0,1
1611013493743,2.984409105082632,5.968818210165264,0,0,1
1611013493743,2.983295469731391,5.966590939462782,0,0,1
1611013493744,2.983295469731391,5.966590939462782,0,0,1
1611013493744,2.983295469731391,5.966590939462782,0,0,1
1611013493745,2.9821818343801505,5.964363668760301,0,0,1
1611013493745,2.9821818343801505,5.964363668760301,0,0,1
1611013493745,2.9821818343801505,5.964363668760301,0,0,1
1611013493746,2.98106819902891,5.96213639805782,0,0,1
1611013493746,2.98106819902891,5.96213639805782,0,0,1
1611013493747,2.979954563677669,5.959909127355338,0,0,1
1611013493747,2.979954563677669,5.959909127355338,0,0,1
1611013493748,2.979954563677669,5.959909127355338,0,0,1
1611013493748,2.978840928326429,5.957681856652858,0,0,1
1611013493748,2.978840928326429,5.957681856652858,0,0,1
1611013493749,2.978840928326429,5.957681856652858,0,0,1
1611013493749,2.9777272929751883,5.955454585950377,0,0,1
1611013493750,2.9777272929751883,5.955454585950377,0,0,1
1611013493750,2.9766136576239477,5.953227315247895,0,0,1
1611013493751,2.9766136576239477,5.953227315247895,0,0,1
1611013493751,2.9766136576239477,5.953227315247895,0,0,1
1611013493751,2.975500022272707,5.951000044545414,0,0,1
1611013493752,2.975500022272707,5.951000044545414,0,0,1
1611013493752,2.9743863869214664,5.948772773842933,0,0,1
1611013493753,2.9743863869214664,5.948772773842933,0,0,1
1611013493753,2.9743863869214664,5.948772773842933,0,0,1
1611013493754,2.9732727515702257,5.9465455031404515,0,0,1
1611013493754,2.9732727515702257,5.9465455031404515,0,0,1
1611013493754,2.972159116218985,5.94431823243797,0,0,1
1611013493755,2.972159116218985,5.94431823243797,0,0,1
1611013493755,2.972159116218985,5.94431823243797,0,0,1
1611013493756,2.9710454808677444,5.942090961735489,0,0,1
1611013493756,2.9710454808677444,5.942090961735489,0,0,1
1611013493757,2.9699318455165042,5.9398636910330085,0,0,1
1611013493757,2.9699318455165042,5.9398636910330085,0,0,1
